ward,total_recent_crimes,recent_violent_crimes,recent_property_crimes,recent_arrest_count,recent_domestic_crimes,first_year,last_year
1,4228,813,2765,0,0,2025,2026
2,3732,903,2038,0,0,2025,2026
3,6228,1884,2923,0,0,2025,2026
4,7788,2130,4110,0,0,2025,2026
5,6232,2072,2958,0,0,2025,2026
6,8675,3321,3425,0,0,2025,2026
7,6744,2449,2926,0,0,2025,2026
8,6862,2407,2970,0,0,2025,2026
9,7003,2326,2855,0,0,2025,2026
10,5082,1786,2257,0,0,2025,2026
11,3222,805,1747,0,0,2025,2026
12,2711,871,1258,0,0,2025,2026
13,2431,718,1098,0,0,2025,2026
14,3801,1043,1908,0,0,2025,2026
15,3614,1393,1354,0,0,2025,2026
16,6978,2697,2515,0,0,2025,2026
17,7216,2557,2959,0,0,2025,2026
18,3529,1077,1646,0,0,2025,2026
19,2280,653,1060,0,0,2025,2026
20,7901,2926,3277,0,0,2025,2026
21,6846,2232,2936,0,0,2025,2026
22,2450,897,887,0,0,2025,2026
23,2154,644,976,0,0,2025,2026
24,7908,2916,2453,0,0,2025,2026
25,3829,1284,1758,0,0,2025,2026
26,3641,1144,1628,0,0,2025,2026
27,11100,2944,5676,0,0,2025,2026
28,10443,3634,4058,0,0,2025,2026
29,4713,1786,1915,0,0,2025,2026
30,2533,725,1235,0,0,2025,2026
31,2768,846,1307,0,0,2025,2026
32,3493,512,2439,0,0,2025,2026
33,2561,742,1229,0,0,2025,2026
34,6648,1291,4122,0,0,2025,2026
35,3170,736,1845,0,0,2025,2026
36,3783,892,2090,0,0,2025,2026
37,6164,2212,2380,0,0,2025,2026
38,1930,545,864,0,0,2025,2026
39,2210,554,1056,0,0,2025,2026
40,2623,706,1318,0,0,2025,2026
41,2565,580,1164,0,0,2025,2026
42,8609,1831,4664,0,0,2025,2026
43,2705,475,1717,0,0,2025,2026
44,3954,831,2411,0,0,2025,2026
45,2456,594,1259,0,0,2025,2026
46,3991,1151,2078,0,0,2025,2026
47,2511,466,1478,0,0,2025,2026
48,2926,921,1395,0,0,2025,2026
49,3570,1191,1557,0,0,2025,2026
50,2450,712,1223,0,0,2025,2026
